code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,GMA,Gor Mahia,34,22,8,4,53,22,31,74
2,SOF,Sofapaka,34,15,10,9,48,31,17,55
3,KAR,Kariobangi Sharks,34,13,13,8,42,26,16,52
4,PRF,CPosta Rangers,34,11,18,5,28,22,6,51
5,KHB,Kakamega Homeboyz,34,12,14,8,30,23,7,50
6,TUS,Tusker,34,14,8,12,33,34,-1,50
7,ULI,Ulinzi Stars,34,12,12,10,37,29,8,48
8,LEO,AFC Leopards,34,12,9,13,26,28,-2,45
9,NZO,Nzoia United,34,11,11,12,41,40,1,44
10,MTW,Bandari Mtwara,34,12,7,15,34,33,1,43
11,SUG,SoNy Sugar,34,10,13,11,31,30,1,43
12,ZOO,Zoo Kericho FC,34,9,13,12,39,49,-10,40
13,MAT,Mathare United,34,8,15,11,32,36,-4,39
14,CHE,Chemelil Sugar,34,8,15,11,28,34,-6,39
15,MKU,Mt. Kenya United,34,10,9,15,33,41,-8,39
16,THI,Thika United,34,8,14,12,27,36,-9,38
17,WST,Western Stima,34,9,11,14,31,41,-10,38
18,MUH,Muhoroni Youth,34,5,10,19,27,65,-38,25
